stroke_sequence,character,encoding
1121112145443,瑟,j-j-/v\\/
112111215215,琶,j-j-vcl
112111215353,琵,j-j-77
11211135,玩,j---a
11211152,玮,j-iivl
1121121225134,瑛,j-hnq
1121122111,珥,j-r3l
112112211134,琪,j-h-8--
1121122112512134,璜,j-h-nt8
112112212511121,瑾,j-h-oj-
112112212512134,璜,j-h-nt8
1121122134,珙,j-h-8
112112225134,瑛,j-hnq
1121122513511,瑚,j-+og
1121122513541,瑚,j-+og
112112341234,琳,j-mm
11211241344,球,j--l3\
11211241352211515,麉,-+-+\r477
11211241352211535,麉,-+-+\r477
11211241352211553,麉,-+-+\r477
11211241352213535,麉,-+-+\r477
11211241352215353,麉,-+-+\r477
112112512,珂,j--lo
1121132,弄,j-h
11211324,环,j-rl\
1121132511134,頊,j-re8
1121132534,顼,j-re8
112113412512,琦,j-q-lo
112113533434,琢,j--e\
112113534,珑,j-k2
11211512454,琏,j-\z-v+
1121152352,琊,j-v-l/zl
11211523552,琊,j-v-l/zl
1121154325,琉,j-ii228
1121211225134,瑛,j-hnq
112121251,玷,j-fo
11212132515,匿,-vhxOo
112121325154544,慝,-vhxOo/v\\
11212135454431234,璨,j--9i48m
11212153151353334,璩,j-fr7-e
112121531535,琥,j-fr7a
1121215435451,鹉,⿽-vi-f2niv-
1121224314311134,璞,j-4-hiia
11212432534,琐,j-we8
11212511,青,j-g
112125111515,琨,j-b77
1121251115154,瑕,j-lc--c4
112125111535,琨,j-b77
112125111553,琨,j-b77
1121251125111,瑁,j-be
112125112535,靓,j-gna
1121251132511154444,鶄,j-gniv-T
1121251133445112,靜,j-g/\\/c-
1121251134435112,靜,j-g/\\/c-
112125113535,琨,j-b77
1121251135451,䴖,j-gniv-
11212511355112,静,j-g9c-l
1121251144512134,靛,j-g\n-fa
112125115353,琨,j-b77
11212512121354251,璐,j-of29\o
1121251215354251,璐,j-of29\o
112125122,珊,j-nn-
1121252132511154444,鶄,j-gniv-T
1121252132522,瑞,j-lurnll
1121252133445112,靜,j-g/\\/c-
1121252134435112,靜,j-g/\\/c-
1121252144512134,靛,j-g\n-fa
112125221,珊,j-nn-
112125232411121,璀,j-lua2f-
11212534,责,j-e8
112125342534531,璎,j-e8e8y
11212535,现,j-na
1121311234,珠,j-/im
11213121353121352534,瓒,j-163a163ae8
11213134,玫,j-ax
112132154,玳,j-a-vi
112132511,珀,j-/b
11213251113251,碧,j-/bro
112132511154444,鳿,j-niv-T
1121325113554,瑰,j-/o+ad
11213251213554,瑰,j-/o+ad
