strokes,character,decomposition,pinyin_readings,freq_rank,count,encoding,composition,retokenized
-ii---llvlvllivii--i,聹,聹 → ⿰耳寧 | 寧 → ⿱寍丁 | 寍 → ⿳宀心皿 | 宀 → ⿱丶冖 | 丁 → ⿱一亅,ning2,9473.0,1.0,._.r3l.|.||.|.\.nV.w.nh.|.-.lX,⿰耳⿱⿳⿱丶冖心皿⿱一亅,._.r3l.|.||.|.\.nV.w.nh.|.-.lX
-ii---lviv--l-jl,䏃,䏃 → 耳冥 | 冥 → 冖昗 | 昗 → 昃 | 昃 → 日仄 | 仄 → 厂人,,,,,,
-ii---lvll,恥,恥 → 耳心,,,,,,
-ii---lvllj,䎵,䎵 → 耳必 | 必 → 心丿,,,,,,
-ii---v--il-jl,䎼,䎼 → 耳录 | 录 → 彐氺 | 彐 → コ一,,,,,,
-ii---vl-i-,埾,埾 → 取土 | 取 → 耳又,,,,,,
-ii---vljijjjl,聚,聚 → ⿱取乑 | 取 → ⿰耳又 | 乑 → ⿸⿹亻𰀪⿺㇏丿 | 𰀪 → ⿱丿丿,ju4,1306.0,18458.0,.|._.r3l.4.).).aA.|././._.\XX./,⿱⿰耳又⿸⿹亻⿱丿丿⿺㇏丿,.|._.r3l.4.).).aA.|././._.\XX./
-ii---vljijjjlii,㔌,㔌 → 聚刂 | 聚 → 取乑 | 取 → 耳又 | 乑 → 亻𰀪㇏丿 | 𰀪 → 丿丿 | 刂 → 丨亅,,,,,,
-ii---vljijljlvvi,鄹,鄹 → ⿰聚阝 | 聚 → ⿱取乑 | 取 → ⿰耳又 | 乑 → ⿸⿹亻𰀪⿺㇏丿 | 𰀪 → ⿱丿丿,zou1,6166.0,49.0,._.|._.r3l.4.).).aA.|././._.\XX./.vvi,⿰⿱⿰耳又⿸⿹亻⿱丿丿⿺㇏丿阝,._.|._.r3l.4.).).aA.|././._.\XX./.vvi
-ii---vlljj--jl,聧,聧 → ⿰耳癸 | 癸 → ⿱癶天 | 天 → ⿱一大,kui1,8288.0,2.0,._.r3l.|.vljaV.|.-.q,⿰耳⿱癶⿱一大,._.r3l.|.vljaV.|.-.q
-ii---vlllll,焣,焣 → 取灬 | 取 → 耳又,,,,,,
-ii---vlvi,郰,郰 → 取阝 | 取 → 耳又,,,,,,
-ii---vlvl-jivjl,颞,颞 → ⿰聂页 | 聂 → ⿱耳双 | 双 → ⿰又又 | 页 → ⿱丆贝,nie4,5037.0,177.0,._.|.r3l._.4.4.|.rXX.e8S,⿰⿱耳⿰又又⿱丆贝,._.|.r3l._.4.4.|.rXX.e8S
-ii---vvi,耶,耶 → ⿰耳阝,ye1,1174.0,23175.0,._.r3l.vvi,⿰耳阝,._.r3l.vvi
-ii---vvlijlvvlijl,䏈,䏈 → 耳絲 | 絲 → 糹糸 | 糸 → 幺小 | 幺 → 𠃋厶,,,,,,
-ii---vvlvvl-ji,聨,聨 → 耳𢇂 | 𢇂 → 𢆶廾 | 𢆶 → 幺幺 | 幺 → 𠃋厶 | 幺 → 𠃋厶,,,,,,
-ii---vvlvvlllll,聮,聮 → 耳𢇁 | 𢇁 → 𢆶灬 | 𢆶 → 幺幺 | 幺 → 𠃋厶 | 幺 → 𠃋厶,,,,,,
-ii--iv-i-jl,黃,黃 → ⿱⿱廿一⿱由八 | 廿 → ⿵卄一,huang2,4883.0,206.0,.|.|.).h.-.-.|.o0X.8,⿱⿱⿵卄一一⿱由八,.|.|.).h.-.-.|.o0X.8
-ii--iv-i-jl-jljljl,䵌,䵌 → 黃夾 | 黃 → 廿一由八 | 廿 → 卄一 | 由 → 日丨 | 夾 → 大从 | 从 → 人人,,,,,,
-ii--iv-i-jli-iv-,黇,黇 → ⿰黄占 | 黄 → ⿳龷由八 | 龷 → ⿱艹一,tian1,8438.0,2.0,._.||.|.hV.-.o0X.8.fo,⿰⿳⿱艹一由八占,._.||.|.hV.-.o0X.8.fo
-ii--iv-i-jliv-iv-iv---i,䵐,䵐 → 黃單 | 黃 → 廿一由八 | 廿 → 卄一 | 由 → 日丨 | 單 → 吅日十 | 吅 → 口口,,,,,,
-ii--iv-i-jlivi-jivii,䵎,䵎 → 黄耑 | 黄 → 龷由八 | 龷 → 艹一 | 由 → 日丨 | 耑 → 山而 | 山 → 凵丨 | 而 → 一𦓐 | 𦓐 → 丿𦉫 | 𦉫 → 冂丨丨,,,,,,
-ii--iv-i-jljiv---vllll,鷬,鷬 → 黃鳥 | 黃 → 廿一由八 | 廿 → 卄一 | 由 → 日丨,,,,,,
-ii--iv-i-jll--i-,黈,黈 → 黄主 | 黄 → 龷由八 | 龷 → 艹一 | 由 → 日丨 | 主 → 丶王,,,,,,
-ii--iv-i-jll-iv-vi-,䵍,䵍 → 黃享 | 黃 → 廿一由八 | 廿 → 卄一 | 由 → 日丨 | 享 → 亠口子 | 子 → 了一 | 了 → 乛亅,,,,,,
-ii--iv-i-jlll-i,斢,斢 → 黄斗 | 黄 → 龷由八 | 龷 → 艹一 | 由 → 日丨 | 斗 → ㇀丨⺀,,,,,,
-ii--iv-i-jllvjv,黆,黆 → 黄冘 | 黄 → 龷由八 | 龷 → 艹一 | 由 → 日丨 | 冘 → 冖丿乚,,,,,,
-ii--iv-i-liv-i-l,䗣,䗣 → 甘䖵 | 甘 → 廿一 | 廿 → 卄一 | 䖵 → 虫虫,,,,,,
-ii--jvlvl,䓕,䓕 → 艹远 | 远 → 辶元 | 辶 → 丶𠃍乀 | 元 → 一兀 | 兀 → 一儿,,,,,,
-ii--lj-v--iijl,㽐,㽐 → 甘兼 | 甘 → 廿一 | 廿 → 卄一 | 兼 → 䒑コ卄八,,,,,,
-ii--vi,苇,苇 → ⿱艹韦 | 韦 → ⿻⿱二𠃌丨,wei3,3233.0,1416.0,.|.hV.).|.=.V-lX.l,⿱艹⿻⿱二𠃌丨,.|.hV.).|.=.V-lX.l
-ii--vvi,邯,邯 → ⿰甘阝 | 甘 → ⿻廿一 | 廿 → ⿵卄一,han2,3900.0,628.0,._.).).h.-.-.vvi,⿰⿻⿵卄一一阝,._.).).h.-.-.vvi
-ii-i,艼,艼 → ⿱艹丁 | 丁 → ⿱一亅,ding3,9114.0,1.0,.|.hV.|.-.lX,⿱艹⿱一亅,.|.hV.|.-.lX
-ii-i-vl--i,萚,萚 → ⿱艹择 | 择 → ⿰扌𠬤 | 𠬤 → ⿱又𰀁,tuo4,9117.0,1.0,.|.hV._.jA.|.4.jXX,⿱艹⿰扌⿱又𰀁,.|.hV._.jA.|.4.jXX
-ii-ilj-iviv--,蔷,蔷 → ⿱艹啬 | 啬 → ⿱⿻土丷回 | 回 → ⿴囗口,qiang2,3941.0,611.0,.|.hV.|.).t.8V.).oX.o,⿱艹⿱⿻土丷⿴囗口,.|.hV.|.).t.8V.).oX.o
-ii-iv---i,莗,莗 → 艹車,,,,,,
-ii-iv---i-ijlj,㝻,No steps,,,,,,
-ii-iv---i-iv---jv,覲,覲 → 堇見 | 堇 → 廿口龶 | 廿 → 卄一 | 見 → 目儿,,,,,,
-ii-iv---i-jj-i,斳,斳 → 堇斤 | 堇 → 廿口龶 | 廿 → 卄一,,,,,,
-ii-iv---i-vi,鄞,鄞 → ⿰堇阝 | 堇 → ⿱廿⿻口龶 | 廿 → ⿵卄一,yin2,5863.0,73.0,._.|.).h.-.).o.j-V.vvi,⿰⿱⿵卄一⿻口龶阝,._.|.).h.-.).o.j-V.vvi
-ii-iv---i-vjlvll,懃,懃 → 勤心 | 勤 → 堇力 | 堇 → 廿口龶 | 廿 → 卄一,,,,,,
-ii-iv---jl-i-iv-lj-iv-,囏,囏 → 𦰩喜 | 𦰩 → 艹口夫 | 夫 → 二人 | 喜 → 壴口 | 壴 → 十豆 | 豆 → 𠮛䒑 | 𠮛 → 一口,,,,,,
-ii-iv---jljil---i-,難,難 → ⿰⿱廿⿻口夫隹 | 廿 → ⿵卄一 | 夫 → ⿻二人,nan2,5970.0,66.0,._.|.).h.-.).o.).=.a.a=j-,⿰⿱⿵卄一⿻口⿻二人隹,._.|.).h.-.).o.).=.a.a=j-
-ii-iv---jljil---i-iv-i-l,𧕴,𧕴 → 難虫 | 難 → 廿口夫隹 | 廿 → 卄一 | 夫 → 二人,,,,,,
-ii-iv---jljil---i-ivjljl,臡,臡 → 難肉 | 難 → 廿口夫隹 | 廿 → 卄一 | 夫 → 二人,,,,,,
-ii-iv---jljil---i-llll,㸐,㸐 → 難灬 | 難 → 廿口夫隹 | 廿 → 卄一 | 夫 → 二人,,,,,,
-ii-iv---jljil---i-lvll,戁,戁 → 難心 | 難 → 廿口夫隹 | 廿 → 卄一 | 夫 → 二人,,,,,,
-ii-iv---jljvjl,歎,歎 → 𦰩欠 | 𦰩 → 艹口夫 | 夫 → 二人 | 欠 → ⺈人,,,,,,
-ii-iv---jlvljvl-vjvj,㔮,㔮 → 𦰩能 | 𦰩 → 艹口夫 | 夫 → 二人 | 能 → 䏍𫧇 | 䏍 → 厶月 | 𫧇 → 匕匕,,,,,,
-ii-iv--i,革,革 → 廿中一 | 廿 → 卄一 | 中 → 口丨,ge2,521.0,78685.0,,,
-ii-iv--i----iv-,䩧,䩧 → 革言 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨,,,,,,
-ii-iv--i--ii-iv-i-,鞲,鞲 → ⿰革冓 | 冓 → ⿱𠀎冉 | 𠀎 → ⿱井一 | 井 → ⿻一廾 | 冉 → ⿻冂土,gou1,6049.0,59.0,._.h-o0.|.|.).-.hX.-.).n.t,⿰革⿱⿱⿻一廾一⿻冂土,._.h-o0.|.|.).-.hX.-.).n.t
-ii-iv--i--ijl,靺,靺 → ⿰革末,wa4,7443.0,6.0,._.h-o0.-mX,⿰革末,._.h-o0.-mX
-ii-iv--i-i---vjl,䩨,䩨 → 革長 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 長 → 丄三𠄌乀丿 | 丄 → 丨一,,,,,,
-ii-iv--i-i--ivllll,䩻,䩻 → 革馬 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨,,,,,,
-ii-iv--i-i-i-iiv---jl,䩿,䩿 → 革賁 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 賁 → 卉貝 | 卉 → 十廾 | 貝 → 目八,,,,,,
-ii-iv--i-i-iv-,鞊,鞊 → ⿰革吉 | 吉 → ⿱士口 | 士 → ⿱十一,ji2,9626.0,1.0,._.h-o0.|.|.0.-.o,⿰革⿱⿱十一口,._.h-o0.|.|.0.-.o
-ii-iv--i-i-ivii-iv---jl,韇,韇 → 革賣 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 賣 → 士買 | 士 → 十一 | 買 → 罒貝 | 貝 → 目八,,,,,,
-ii-iv--i-i-lj---ilvvl,韃,韃 → 革達 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 達 → 辶𦍒 | 辶 → 丶𠃍乀 | 𦍒 → 羍 | 羍 → 大羊 | 羊 → 䒑𰀁,,,,,,
-ii-iv--i-ii-iv-i-jl,䪄,䪄 → 革黄 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 黄 → 龷由八 | 龷 → 艹一 | 由 → 日丨,,,,,,
-ii-iv--i-ii-jiv--i,鞴,鞴 → ⿰革𤰇 | 𤰇 → ⿱𠀗用 | 𠀗 → ⿱龷丿 | 龷 → ⿱艹一 | 用 → ⿵⺆𰀁,bei4,5415.0,123.0,._.h-o0.|.|.|.hV.-./.).nX.jXX,⿰革⿱⿱⿱艹一丿⿵⺆𰀁,._.h-o0.|.|.|.hV.-./.).nX.jXX
-ii-iv--i-ii-jivi-,鞯,鞯 → ⿰革荐 | 荐 → ⿱艹存 | 存 → ⿸𠂇⿰丨子 | 子 → ⿻了一,jian1,4514.0,320.0,._.h-o0.|.hV.).rX._.l.).vlX.-,⿰革⿱艹⿸𠂇⿰丨⿻了一,._.h-o0.|.hV.).rX._.l.).vlX.-
-ii-iv--i-ii-v,靾,靾 → 革世 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 世 → 廿𠃊 | 廿 → 卄一,,,,,,
-ii-iv--i-ii-v-ijl,鞢,鞢 → 革枼 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 枼 → 世木 | 世 → 廿𠃊 | 廿 → 卄一,,,,,,
-ii-iv--i-iiv-jv--,䩴,䩴 → 革胡 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 胡 → 古月 | 古 → 十口,,,,,,
-ii-iv--i-iv--jl,鞕,鞕 → 革更 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 更 → 一日乂,,,,,,
-ii-iv--i-iv-i--iv-i--,韁,韁 → 革畺 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 畺 → 一田一田一,,,,,,
-ii-iv--i-iv-iv-iv-v,䩽,䩽 → 革區 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 區 → 匚品 | 品 → 口吅 | 吅 → 口口,,,,,,
-ii-iv--i-iv-ivjv-i,䩹,䩹 → 革鬲 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 鬲 → 𠮛冂䒑丨 | 𠮛 → 一口,,,,,,
-ii-iv--i-ivii--jlvvlvvl,韆,韆 → ⿰革遷 | 遷 → ⿺辶䙴 | 䙴 → ⿱䙲㔾 | 䙲 → ⿱覀大 | 㔾 → ⿺乚𠃌,qian1,8912.0,1.0,._.h-o0._.\v.|.|.-nll-.q._.Vl-X.V-lX,⿰革⿺辶⿱⿱覀大⿺乚𠃌,._.h-o0._.\v.|.|.-nll-.q._.Vl-X.V-lX
-ii-iv--i-ivijljl,䩫,䩫 → 革兩 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 兩 → 帀𠓜 | 帀 → 一巾 | 巾 → 冂丨 | 𠓜 → 入入,,,,,,
-ii-iv--i-ivjl,鞆,鞆 → 革丙 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 丙 → 一内 | 内 → 冂人,,,,,,
-ii-iv--i-jl-iv-i,䩭,䩭 → 革奇 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 奇 → 大可 | 可 → 丁口 | 丁 → 一亅,,,,,,
-ii-iv--i-jljljl,䩡,䩡 → 革夾 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 夾 → 大从 | 从 → 人人,,,,,,
-ii-iv--i-jv,靰,靰 → ⿰革兀 | 兀 → ⿱一儿,wu4,7000.0,12.0,._.h-o0.|.-.y,⿰革⿱一儿,._.h-o0.|.-.y
-ii-iv--i-v-vjl,䩟,䩟 → 革夷 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 夷 → 大弓 | 弓 → コ㇉,,,,,,
-ii-iv--ii,剒,剒 → 昔刂 | 昔 → 龷日 | 龷 → 艹一 | 刂 → 丨亅,,,,,,
-ii-iv--ii---il,鞐,鞐 → 革𠧗 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 𠧗 → 上下 | 上 → ⺊一 | 下 → 一卜,,,,,,
-ii-iv--ii--i-i--i--i,鞾,鞾 → 革華 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 華 → 艹丅艹二 | 丅 → 一丨,,,,,,
-ii-iv--ii--i-ii---,䩸,䩸 → 革茸 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 茸 → 艹耳,,,,,,
-ii-iv--ii--i-iv--il-il,䪇,䪇 → 革蒪 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 蒪 → 艹尃 | 尃 → 甫寸 | 甫 → 十丶月 | 寸 → 𬺰丶 | 𬺰 → 一亅,,,,,,
-ii-iv--ii--iiv--iv---ivlj-ijl,韊,韊 → 革蘭 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 蘭 → 艹闌 | 闌 → 門柬 | 柬 → 束丷 | 束 → 木口,,,,,,
-ii-iv--ii--iivii--jlvlj,韈,韈 → ⿰革蔑 | 蔑 → ⿱𦭝戍 | 𦭝 → ⿱艹罒 | 戍 → ⿵戊丶,wa4,8071.0,3.0,._.h-o0.|.|.hV.nhV.).rva.\,⿰革⿱⿱艹罒⿵戊丶,._.h-o0.|.|.hV.nhV.).rva.\
-ii-iv--ii--ijil---i-vl,韄,韄 → 革蒦 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 蒦 → 艹隻 | 隻 → 隹又,,,,,,
-ii-iv--ii--ijl-iv-,鞳,鞳 → 革荅 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 荅 → 艹合 | 合 → 亼口 | 亼 → 人一,,,,,,
-ii-iv--ii--il-jvii--vllll,韉,韉 → 革薦 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 薦 → 艹廌 | 廌 → 广コ丨丨㇉一灬 | 广 → 丶厂,,,,,,
-ii-iv--iiilj-lj---jl,䪁,䪁 → 革菐 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 菐 → 业䒑夫 | 业 → 䒑丨丨 | 夫 → 二人,,,,,,
-ii-iv--iijliviv-,鞝,鞝 → ⿰革尚 | 尚 → ⿱⺌冋 | 冋 → ⿵冂口,zhang3,8507.0,2.0,._.h-o0.|.wXX.).n.o,⿰革⿱⺌⿵冂口,._.h-o0.|.wXX.).n.o
-ii-iv--iiljjvl-,鞘,鞘 → ⿰革肖 | 肖 → ⿱⺌月,qiao4,3036.0,1825.0,._.h-o0.|.wXX.g,⿰革⿱⺌月,._.h-o0.|.wXX.g
-ii-iv--iiljjvl-ii,鞩,鞩 → 鞘刂 | 鞘 → 革肖 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 肖 → 小月 | 刂 → 丨亅,,,,,,
-ii-iv--iiljlviv--i-,鞺,鞺 → ⿰革堂 | 堂 → ⿱𫩠土 | 𫩠 → ⿱龸口 | 龸 → ⿱⺌冖,tang1,9323.0,1.0,._.h-o0.|.|.|.wXX.nV.o.t,⿰革⿱⿱⿱⺌冖口土,._.h-o0.|.|.|.wXX.nV.o.t
-ii-iv--iiv--ii---,䩰,䩰 → 革咠 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 咠 → 口耳,,,,,,
-ii-iv--iiv--iv---ivlj-ijl,䪍,䪍 → 革闌 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 闌 → 門柬 | 柬 → 束丷 | 束 → 木口,,,,,,
-ii-iv--iiv--jvjlv,鞨,鞨 → ⿰革曷 | 曷 → ⿱曰匃 | 匃 → ⿹勹亾 | 亾 → ⿺𠃊人,he2,7444.0,6.0,._.h-o0.|.bX.).9._.Vl-.a,⿰革⿱曰⿹勹⿺𠃊人,._.h-o0.|.bX.).9._.Vl-.a
-ii-iv--iiv--vvlvvlllll,韅,韅 → 革㬎 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 㬎 → 日𢇁 | 𢇁 → 𢆶灬 | 𢆶 → 幺幺 | 幺 → 𠃋厶 | 幺 → 𠃋厶,,,,,,
-ii-iv--iiv-i--ii--i,鞸,鞸 → 革畢 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 畢 → 田龷十 | 龷 → 艹一,,,,,,
-ii-iv--iiv-i-iv---jl,鞼,鞼 → 革貴 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 貴 → 𠀐貝 | 𠀐 → 中一 | 中 → 口丨 | 貝 → 目八,,,,,,
-ii-iv--iiv-i-iv---jllvvl,䪋,䪋 → 革遺 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 遺 → 辶貴 | 辶 → 丶𠃍乀 | 貴 → 𠀐貝 | 𠀐 → 中一 | 中 → 口丨 | 貝 → 目八,,,,,,
-ii-iv--iiv-i-v-iv-lvvl,䪈,䪈 → 革遣 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 遣 → 辶𠀐㠯 | 辶 → 丶𠃍乀 | 𠀐 → 中一 | 中 → 口丨 | 㠯 → 丨ココ,,,,,,
-ii-iv--iiv-j-i-,鞓,鞓 → ⿰革呈 | 呈 → ⿱口王,ting1,7404.0,7.0,._.h-o0.|.o.j-,⿰革⿱口王,._.h-o0.|.o.j-
-ii-iv--iiv-jvl-,鞙,鞙 → 革肙 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 肙 → 口月,,,,,,
-ii-iv--iivii-jviv-i-l,䪅,䪅 → 革蜀 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 蜀 → 罒𠣜,,,,,,
-ii-iv--iivijil---i-ivjviv-,䪎,䪎 → 革巂 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 巂 → 崔冏 | 崔 → 山隹 | 山 → 凵丨 | 冏 → 冂㕣 | 㕣 → (,,,,,,
-ii-iv--iivjl-ivii-,鞰,鞰 → 革昷 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 昷 → 日皿,,,,,,
-ii-iv--ij-i-vvl,䩠,䩠 → 革廷 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 廷 → 廴𡈼 | 廴 → ㇋乀 | 𡈼 → 丿土,,,,,,
-ii-iv--ij-ijl,鞂,鞂 → 革禾 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 禾 → 丿木,,,,,,
-ii-iv--ij-ijlljjl,鞦,鞦 → ⿰革秋 | 秋 → ⿰禾火 | 禾 → ⿱丿木,qiu1,8276.0,2.0,._.h-o0._.|./.m.8a,⿰革⿰⿱丿木火,._.h-o0._.|./.m.8a
-ii-iv--ij-jlji,鞒,鞒 → ⿰革乔 | 乔 → ⿱夭⿰丿丨 | 夭 → ⿱丿大,qiao2,5500.0,114.0,._.h-o0.|.|./.q._./.l,⿰革⿱⿱丿大⿰丿丨,._.h-o0.|.|./.q._./.l
-ii-iv--ij-v,䩐,䩐 → 革乞 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 乞 → 𠂉乙,,,,,,
-ii-iv--iji-iv--jl,鞭,鞭 → ⿰革便 | 便 → ⿰亻更 | 更 → ⿱一⿻日乂,bian1,2250.0,5176.0,._.h-o0._.aA.|.-.).b.x,⿰革⿰亻⿱一⿻日乂,._.h-o0._.aA.|.-.).b.x
-ii-iv--iji-vvvl,䩥,䩥 → 革延 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 延 → 廴丿⺊𠃊 | 廴 → ㇋乀,,,,,,
-ii-iv--ijiv---vllll,䳬,䳬 → 革鳥 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨,,,,,,
-ii-iv--ijiv--j-i,鞞,鞞 → 革卑 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 卑 → 白丿十 | 白 → 丿日,,,,,,
-ii-iv--ijivj,靴,靴 → ⿰革化 | 化 → ⿰亻𠤎 | 𠤎 → ⿻乚丿,xue1,3091.0,1688.0,._.h-o0._.aA.).Vl-X./,⿰革⿰亻⿻乚丿,._.h-o0._.aA.).Vl-X./
-ii-iv--ijj-i,靳,靳 → ⿰革斤,jin4,3973.0,592.0,._.h-o0.//r,⿰革斤,._.h-o0.//r
-ii-iv--ijjllji-v--,鞱,鞱 → 革舀 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 舀 → 爫臼 | 爫 → 丿𭕄 | 臼 → 丨丿一𠃍一一,,,,,,
-ii-iv--ijjllvvl-jl,鞵,鞵 → 革奚 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 奚 → 爫𡗞 | 爫 → 丿𭕄,,,,,,
-ii-iv--ijjvll,䩝,䩝 → 革瓜 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 瓜 → 𠂆厶㇏ | 𠂆 → 丿丿,,,,,,
-ii-iv--ijl--i,靽,靽 → 革半 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 半 → 丷𰀁,,,,,,
-ii-iv--ijl--ijl,䩣,䩣 → 革余 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 余 → 亼朩 | 亼 → 人一 | 朩 → 一小,,,,,,
-ii-iv--ijl-iv-,鞈,鞈 → 革合 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 合 → 亼口 | 亼 → 人一,,,,,,
-ii-iv--ijl-jvllvv,䩱,䩱 → 革俞 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 俞 → 亼刖 | 亼 → 人一 | 刖 → 月刂 | 刂 → 丨亅,,,,,,
-ii-iv--ijlljvj-,鞖,鞖 → ⿰革妥 | 妥 → ⿱爫女 | 爫 → ⿱丿𭕄,sui1,8713.0,2.0,._.h-o0.|.|./.wV./j-,⿰革⿱⿱丿𭕄女,._.h-o0.|.|./.wV./j-
-ii-iv--ijllv,靲,靲 → 革今 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 今 → 亽㇇,,,,,,
-ii-iv--ijlvlvjjvjj,䩺,䩺 → 革翁 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 翁 → 公羽 | 公 → 八厶 | 羽 → 习习 | 习 → 𠃌冫 | 习 → 𠃌冫,,,,,,
-ii-iv--ijv--,䩗,䩗 → 革月 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨,,,,,,
-ii-iv--ijv-jjvl---iv-,韂,韂 → ⿰革詹 | 詹 → ⿸厃⿱八言 | 厃 → ⿱⺈厂,chan4,8306.0,2.0,._.h-o0.).|.9V.r.|.8.4o,⿰革⿸⿱⺈厂⿱八言,._.h-o0.).|.9V.r.|.8.4o
-ii-iv--ijv-vl,䩚,䩚 → 革氐 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 氐 → 氏丶,,,,,,
-ii-iv--ijviv-jv,鞔,鞔 → ⿰革免,man2,5912.0,70.0,._.h-o0.9oy,⿰革免,._.h-o0.9oy
-ii-iv--ijviv-vjvjjviv-jvl,䪌,䪌 → 革毚 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 毚 → 㲋兔 | 㲋 → 𠮥比 | 𠮥 → ⺈口 | 兔 → 免丶 | 免 → ⺈口丿乚,,,,,,
-ii-iv--ijvl,靮,靮 → ⿰革勺 | 勺 → ⿹勹丶,di2,8779.0,2.0,._.h-o0.).9.\,⿰革⿹勹丶,._.h-o0.).9.\
-ii-iv--ijvl---ilvvl,䩼,䩼 → 革逢 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 逢 → 辶夆 | 辶 → 丶𠃍乀 | 夆 → 夂丰 | 丰 → 三丨,,,,,,
-ii-iv--ijvl---iv-,鞫,鞫 → ⿰革訇 | 訇 → ⿹勹言,ju1,5409.0,124.0,._.h-o0.).9.4o,⿰革⿹勹言,._.h-o0.).9.4o
-ii-iv--ijvlj-ijl,鞠,鞠 → ⿰革匊 | 匊 → ⿹勹米 | 米 → ⿻丷木,ju1,3037.0,1821.0,._.h-o0.).9.).8V.m,⿰革⿹勹⿻丷木,._.h-o0.).9.).8V.m
-ii-iv--ijvv-v,鞄,鞄 → ⿰革包 | 包 → ⿹勹巳 | 巳 → ⿺乚コ,pao2,9010.0,1.0,._.h-o0.).9._.Vl-X.c,⿰革⿹勹⿺乚コ,._.h-o0.).9._.Vl-X.c
-ii-iv--ijvvi,䩕,䩕 → 革卬 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 卬 → 丿𠄌卩,,,,,,
-ii-iv--ijvvl,䩓,䩓 → 革勾 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 勾 → 勹厶,,,,,,
-ii-iv--ijvvl,䩔,䩔 → 革殳 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 殳 → 𠘧又 | 𠘧 → 丿㇍,,,,,,
