strokes,character,decomposition,pinyin_readings,freq_rank,count,encoding,composition,retokenized
lli-vvlj,怴,怴 → 忄戉 | 戉 → 𠄌戈 | 戈 → 弋丿,,,,,,
llii----vjl,悵,悵 → 忄長 | 長 → 丄三𠄌乀丿 | 丄 → 丨一,,,,,,
llii--i-i--i--i,㦊,㦊 → 화 | 화 → (,,,,,,
llii--iiv---i,愺,愺 → 忄草 | 草 → 艹早 | 早 → 日十,,,,,,
llii--iiv---jl,慔,慔 → 忄莫 | 莫 → 艹旲 | 旲 → 日大,,,,,,
llii--iiv-iv-jil---i-,懽,懽 → 忄雚 | 雚 → 艹𨾴 | 𨾴 → 吅隹 | 吅 → 口口,,,,,,
llii--iiv-jl,愥,愥 → 忄英 | 英 → 艹央 | 央 → 冂大,,,,,,
llii--iivii--jlvlj,懱,懱 → 忄蔑 | 蔑 → 𦭝戍 | 𦭝 → 艹罒 | 戍 → 戊丶 | 戊 → 丿戈 | 戈 → 弋丿,,,,,,
llii--iivii-lviv---,懵,懵 → ⿰忄瞢 | 瞢 → ⿱⿳艹罒冖目,meng3,3823.0,685.0,._.wA.|.||.hV.nhV.nV.e,⿰忄⿱⿳艹罒冖目,._.wA.|.||.hV.nhV.nV.e
llii--iivii-lvjvl,懜,懜 → 忄夢 | 夢 → 𦭝冖夕 | 𦭝 → 艹罒,,,,,,
llii--ij-iv---i-,懂,懂 → ⿰忄董 | 董 → ⿱艹重 | 重 → ⿱千里 | 千 → ⿱丿十 | 里 → ⿱田土,dong3,1211.0,21117.0,._.wA.|.hV.|.|./.0.|.o0.t,⿰忄⿱艹⿱⿱丿十⿱田土,._.wA.|.hV.|.|./.0.|.o0.t
llii--ijil---i-vl,㦜,No steps,,,,,,
llii--ijvjjllvll,憽,憽 → 忄葱 | 葱 → 艹怱 | 怱 → 匆心 | 匆 → 勿丶 | 勿 → 勹丿丿,,,,,,
llii--il-v,恾,恾 → 忄芒 | 芒 → 艹亡 | 亡 → 亠𠃊,,,,,,
llii--il-vjiv,慌,慌 → ⿰忄荒 | 荒 → ⿱艹巟 | 巟 → ⿱亡𫶧 | 亡 → ⿱亠𠃊,huang1,1650.0,11149.0,._.wA.|.hV.|.|.=V.Vl-.wX,⿰忄⿱艹⿱⿱亠𠃊𫶧,._.wA.|.hV.|.|.=V.Vl-.wX
llii--ilv--jvjjjl,懞,懞 → 忄蒙 | 蒙 → 艹冡 | 冡 → 冖一豕,,,,,,
llii--vjiv-i--ii-jl,懻,懻 → 忄冀 | 冀 → 北異 | 北 → 一㇀丨匕 | 異 → 田共 | 共 → 龷八 | 龷 → 艹一,,,,,,
llii-iv-,怗,怗 → 忄占 | 占 →  /,,,,,,
llii-iv---i,悼,悼 → ⿰忄卓 | 卓 → ⿱⺊早 | 早 → ⿱日十,dao4,2963.0,1997.0,._.wA.|.f.|.b.0,⿰忄⿱⺊⿱日十,._.wA.|.f.|.b.0
llii-vj-v-jvjjjl,懅,懅 → 忄豦 | 豦 → 虍豕 | 虍 → ⺊乛丿七,,,,,,
llii-vj-viivi--,憈,憈 → 忄虚 | 虚 → 虍业 | 虍 → ⺊乛丿七 | 业 → 䒑丨丨,,,,,,
llii-vj-vjlj-i,㦆,㦆 → 忄虖 | 虖 → 虍乎 | 虍 → ⺊乛丿七 | 乎 → 𠂌丷 | 𠂌 → 丿𬺰 | 𬺰 → 一亅,,,,,,
lliiilj-lj--i--il,㦠,No steps,,,,,,
lliiivl-i-,悭,悭 → ⿰忄坚 | 坚 → ⿱𰀡土 | 𰀡 → ⿲丨丨又,qian1,5480.0,116.0,._.wA.|.__.l.l.4.t,⿰忄⿱⿲丨丨又土,._.wA.|.__.l.l.4.t
lliilj-jv,恍,恍 → ⿰忄光 | 光 → ⿱⺌兀 | 兀 → ⿱一儿,huang3,2535.0,3584.0,._.wA.|.wXX.|.-.y,⿰忄⿱⺌⿱一儿,._.wA.|.wXX.|.-.y
lliiljiviv-,惝,惝 → ⿰忄尚 | 尚 → ⿱⺌冋 | 冋 → ⿵冂口,chang3/tang3,6553.0,26.0,._.wA.|.wXX.).n.o,⿰忄⿱⺌⿵冂口,._.wA.|.wXX.).n.o
lliiljjvl-,悄,悄 → ⿰忄肖 | 肖 → ⿱⺌月,qiao3/qiao1,1434.0,15141.0,._.wA.|.wXX.g,⿰忄⿱⺌月,._.wA.|.wXX.g
lliiljlviv--i-,憆,憆 → 忄堂 | 堂 → 𫩠土 | 𫩠 → 龸口 | 龸 → 小冖,,,,,,
lliiljlviv-ivlj--i-llll,戃,戃 → 忄黨 | 黨 → 𫩠黑 | 𫩠 → 龸口 | 龸 → 小冖 | 黑 → 土丷口灬,,,,,,
lliiv---,怚,怚 → 忄且 | 且 → ⺝一,,,,,,
lliiv---,怛,怛 → ⿰忄旦 | 旦 → ⿱日一,da2,5641.0,99.0,._.wA.|.b.-,⿰忄⿱日一,._.wA.|.b.-
lliiv----i,悍,悍 → ⿰忄旱 | 旱 → ⿱日干,han4,3073.0,1715.0,._.wA.|.b.j,⿰忄⿱日干,._.wA.|.b.j
lliiv----il,㥂,No steps,,,,,,
lliiv----jl,惧,惧 → ⿰忄具 | 具 → ⿱⿴𠀃三八 | 𠀃 → ⿱冂一,ju4,1616.0,11644.0,._.wA.|.).|.n.-.3.8,⿰忄⿱⿴⿱冂一三八,._.wA.|.).|.n.-.3.8
lliiv---i-,悜,悜 → 忄呈 | 呈 → 口王,,,,,,
lliiv---i-,悝,悝 → ⿰忄里 | 里 → ⿱田土,kui1/li3,6177.0,49.0,._.wA.|.o0.t,⿰忄⿱田土,._.wA.|.o0.t
lliiv---i-jl,惿,惿 → 忄是 | 是 → 旦龰 | 𤴓 → 一龰 | 旦 → 日一,,,,,,
lliiv---ii-jlil-jl,懪,懪 → 忄暴 | 暴 → 日㳟 | 㳟 → 共氺 | 共 → 龷八 | 龷 → 艹一,,,,,,
lliiv---ijl,惈,惈 → 忄果 | 果 → 日木,,,,,,
lliiv---iv---jil---i-,懼,懼 → 忄瞿 | 瞿 → 䀠隹 | 䀠 → 目目,,,,,,
lliiv---iv---jil---i-vl,戄,戄 → 忄矍 | 矍 → 瞿又 | 瞿 → 䀠隹 | 䀠 → 目目,,,,,,
lliiv---jl,悮,悮 → 忄吴 | 吴 → 口天 | 天 → 一大,,,,,,
lliiv---jlii,惻,惻 → 忄則 | 則 → 貝刂 | 貝 → 目八 | 刂 → 丨亅,,,,,,
lliiv---jv,悓,悓 → 忄見 | 見 → 目儿,,,,,,
lliiv---jvjj,愓,愓 → 忄昜 | 昜 → 旦勿 | 旦 → 日一 | 勿 → 勹丿丿,,,,,,
lliiv--ilj-jv,愰,愰 → 忄晃 | 晃 → 日光 | 光 → 小兀 | 兀 → 一儿,,,,,,
lliiv--iv--,㥃,No steps,,,,,,
lliiv--iv---ivlj-ijl,㦨,㦨 → 懶 | 懶 → 忄賴 | 賴 → 束刀貝 | 束 → 木口 | 貝 → 目八,,,,,,
lliiv--iv--ji-v--jv,㦦,㦦 → 忄䦧 | 䦧 → 門兒 | 兒 → 臼儿 | 臼 → 丨丿一𠃍一一,,,,,,
lliiv--iv--jv--,憪,憪 → 忄閒 | 閒 → 門月,,,,,,
